Date,Year,Pitcher,PitcherThrows,Inning,PAofInning,BatterSide,PitchofPA,Balls,Strikes,PitchType,ReleaseSpeed,InducedVertBreak,HorzBreak,ReleaseHeight,ReleaseSide,Extension,PlateHeight,PlateSide,SpinRate,SpinAxis,swing_prob,whiff_prob_gs,whiff_prob
4/8/2019,2019,Pitcher X,Left,5,2,Right,2,1,0,FASTBALL,91.73639679,13.94550037,-7.708099842,5.409070015,-1.152619958,6.461200237,1.426059961,0.457886994,1904.420044,151.6840057,0.311085522,0.10033261,0.031212022
4/8/2019,2019,Pitcher X,Left,5,2,Right,3,2,0,CHANGEUP,86.42819977,6.636720181,-10.80580044,5.302539825,-1.185520053,5.945409775,1.461210012,0.870365024,1688.439941,123.3639984,0.269248545,0.605540037,0.163040774
4/8/2019,2019,Pitcher X,Left,5,2,Right,4,3,0,FASTBALL,90.71510315,16.06879997,-4.107260227,5.384449959,-0.984034002,6.05904007,3.553139925,0.062135801,1885.060059,165.8480072,0.090390593,0.354792863,0.032069937
4/8/2019,2019,Pitcher X,Left,5,3,Left,1,0,0,FASTBALL,90.09369659,15.57849979,-9.238559723,5.43735981,-1.117499948,5.976349831,3.821530104,-0.794264019,1928.040039,150.1519928,0.170876771,0.389627635,0.066578312
4/8/2019,2019,Pitcher X,Left,5,3,Left,2,1,0,FASTBALL,90.33670044,14.51420021,-8.742509842,5.412479877,-1.123839974,5.988339901,2.921149969,0.0538496,1810.920044,149.7030029,0.760534763,0.104540154,0.079506422
4/8/2019,2019,Pitcher X,Left,5,4,Right,1,0,0,CHANGEUP,84.99949646,5.367330074,-11.51490021,5.394979954,-1.183189988,6.531020164,2.067800045,0.936488986,1819.599976,117.1460037,0.133353755,0.224394858,0.029923897
4/8/2019,2019,Pitcher X,Left,5,4,Right,2,0,1,FASTBALL,91.57029724,21.19300079,-8.888339996,5.519720078,-1.220989943,5.951010227,3.263720036,0.067625701,1982.23999,158.0859985,0.889355481,0.426021993,0.378884995
4/8/2019,2019,Pitcher X,Left,5,4,Right,3,0,2,SLIDER,82.39640045,-2.686019897,4.555920124,5.601530075,-1.118170023,5.592209816,3.209909916,-0.248412997,0,-57.5909996,0.738135219,0.224766165,0.165907822
4/18/2019,2019,Pitcher X,Left,1,1,Right,1,0,0,FASTBALL,90.53859711,16.42469978,-5.565750122,5.732230186,-1.404389977,5.543640137,4.794040203,-1.346160054,1821.040039,158.5829926,0.000675383,0.749193549,0.000505992
4/18/2019,2019,Pitcher X,Left,1,1,Right,2,1,0,FASTBALL,91.313797,12.62469959,-6.899950027,5.439189911,-1.454480052,6.113759995,1.560420036,0.225926995,1774.890015,147.4459991,0.449006945,0.067732446,0.030412339
4/18/2019,2019,Pitcher X,Left,1,2,Right,1,0,0,FASTBALL,91.46890259,12.41259956,-7.12112999,5.562069893,-1.336920023,6.157720089,3.897190094,-0.863763988,1893.619995,146.1529999,0.041305311,0.613223612,0.025329392
4/18/2019,2019,Pitcher X,Left,1,2,Right,2,1,0,CHANGEUP,86.38200378,3.548919916,-6.379879951,5.484769821,-1.403460026,6.257549763,2.772069931,-0.175009996,1909.900024,108.5579987,0.553304851,0.097340062,0.053858729
4/18/2019,2019,Pitcher X,Left,1,2,Right,3,1,1,CHANGEUP,84.4131012,3.473069906,-8.822170258,5.693429947,-1.208960056,6.062689781,1.513520002,0.459630013,1956.609985,103.0130005,0.753694057,0.301572293,0.227293245
4/18/2019,2019,Pitcher X,Left,1,3,Left,1,0,0,FASTBALL,92.29000092,21.99130058,-4.70991993,5.847680092,-1.443500042,5.665830135,2.507580042,0.253596008,1922.349976,165.9920044,0.556213558,0.315239996,0.17534076
4/18/2019,2019,Pitcher X,Left,1,3,Left,2,0,1,SLIDER,84.06610107,3.460740089,3.072210073,5.588500023,-1.34473002,5.42151022,2.713279963,-0.570623994,2415.070068,232.5330048,0.512764215,0.138071105,0.070797922
4/18/2019,2019,Pitcher X,Left,1,3,Left,3,0,2,SLIDER,86.50499725,4.634880066,2.270730019,5.609499931,-1.278689981,5.428909779,0.565235019,1.196570039,2548.47998,211.9060059,0.260380924,0.921745658,0.240004986
4/18/2019,2019,Pitcher X,Left,2,1,Right,1,0,0,FASTBALL,90.55899811,11.0965004,-5.684860229,5.515769958,-1.363839984,5.825210094,2.576999903,-0.64626199,1852.069946,148.6300049,0.281175911,0.111273706,0.031287486
4/18/2019,2019,Pitcher X,Left,2,1,Right,2,0,1,FASTBALL,91.27359772,13.77939987,-9.752829552,5.541560173,-1.306750059,5.593910217,5.518370152,-1.930969954,1775.969971,140.8600006,1.94E-05,0.808601797,1.57E-05
4/18/2019,2019,Pitcher X,Left,2,1,Right,3,1,1,FASTBALL,91.97119904,16.35409927,-8.93103981,5.543610096,-1.357740045,5.742440224,2.470190048,0.640872002,1842.800049,148.1679993,0.817760229,0.078508325,0.064200986
4/18/2019,2019,Pitcher X,Left,2,2,Left,1,0,0,SLIDER,84.00720215,2.465359926,5.237269878,5.575789928,-1.332679987,5.486700058,2.839620113,0.354202986,2443.050049,255.7510071,0.4061836,0.167617515,0.068083486
4/18/2019,2019,Pitcher X,Left,2,2,Left,2,0,1,FASTBALL,93.70200348,13.07240009,-8.292929649,5.455220222,-1.27493,5.620269775,2.347800016,0.450338006,1921.180054,143.6719971,0.714744568,0.180908293,0.129303219
4/18/2019,2019,Pitcher X,Left,2,2,Left,3,0,2,FASTBALL,93.1013031,13.54430008,-8.841569901,5.486209869,-1.256180048,5.647669792,3.100830078,0.077359103,1838.969971,143.0140076,0.94400388,0.237787008,0.224471858
4/18/2019,2019,Pitcher X,Left,2,3,Right,1,0,0,CHANGEUP,87.82209778,7.156310081,-12.90100002,5.581910133,-1.287909985,5.601630211,1.598199964,0.054310601,1937.5,113.4530029,0.558608353,0.328242868,0.183359208
4/18/2019,2019,Pitcher X,Left,2,3,Right,2,0,1,FASTBALL,92.53919983,14.54889965,-7.496860027,5.457819939,-1.383569956,5.627779961,5.135369778,-1.445880055,1867.890015,149.3119965,0.000146463,0.69868505,0.000102331
4/18/2019,2019,Pitcher X,Left,2,3,Right,3,1,1,FASTBALL,91.86710358,11.6328001,-6.242050171,5.49684,-1.321400046,5.779359818,3.062180042,-0.312409997,1861.609985,147.6399994,0.882399559,0.208595172,0.184064287
4/18/2019,2019,Pitcher X,Left,2,4,Left,1,0,0,SLIDER,84.59909821,2.353149891,2.875760078,5.483789921,-1.370129943,5.587329865,1.794039965,0.676214993,2349.449951,247.4850006,0.51382184,0.491585165,0.252587194
4/18/2019,2019,Pitcher X,Left,2,4,Left,2,0,1,SLIDER,84.70200348,3.420269966,0.449672014,5.597330093,-1.355340004,5.480100155,0.420264989,1.393820047,2732.23999,188.6029968,0.125284806,0.971114457,0.121665886
4/18/2019,2019,Pitcher X,Left,2,4,Left,3,1,1,FASTBALL,93.06289673,13.36489964,-8.51142025,5.455699921,-1.350020051,5.783740044,1.704810023,0.642054975,2016.119995,143.6380005,0.326382607,0.182928637,0.059704725
4/18/2019,2019,Pitcher X,Left,2,5,Right,1,0,0,FASTBALL,93.37380219,10.84739971,-8.722769737,5.429470062,-1.426460028,5.69178009,2.498169899,-0.823825002,2153.949951,136.4470062,0.250760168,0.11912068,0.029870722
4/18/2019,2019,Pitcher X,Left,3,1,Right,1,0,0,FASTBALL,90.97250366,14.2869997,-7.521510124,5.498970032,-1.49556005,5.499239922,1.992059946,-1.180539966,1876.51001,148.7409973,0.026161242,0.199536368,0.005220119
4/18/2019,2019,Pitcher X,Left,3,1,Right,2,1,0,FASTBALL,91.21309662,12.69149971,-8.744819641,5.408279896,-1.397549987,6.065939903,0.605894029,1.356320024,1950.359985,141.3379974,0.011591465,0.667411566,0.007736278
4/18/2019,2019,Pitcher X,Left,3,1,Right,3,2,0,FASTBALL,91.311203,18.18050003,-8.344010353,5.446169853,-1.417260051,5.634429932,3.437750101,-0.939890027,2020.069946,152.5379944,0.122863315,0.439561218,0.054005948
4/18/2019,2019,Pitcher X,Left,3,1,Right,4,3,0,FASTBALL,90.7539978,13.0163002,-5.927929878,5.451749802,-1.317190051,5.760509968,1.136119962,-0.325432986,2128.25,151.9349976,0.031729784,0.18599613,0.005901617
4/18/2019,2019,Pitcher X,Left,3,2,Right,1,0,0,CHANGEUP,87.42079926,-1.298830032,-11.96220016,5.413099766,-1.306779981,5.982379913,1.337460041,-0.256159008,1925.079956,77.04119873,0.61104697,0.492208779,0.300762683
